file_id,workspace_id,channel_id,message_id,uploader_id,purpose,file_name,mime,size_bytes,url,pinned,deleted,replaced_from,created_at,updated_at
f_89b9b1bb,default,b2-morning-1-homework,m125ki8gj,"School Admin",media,audio-message-1768914527591.webm,audio/mp4,259776,/uploads/1768914527599-f6fea347f382688dd1cabcfd.m4a,0,0,,"2026-01-20 13:08:50","2026-01-20 13:08:50"
f_c9c4e07e,default,b2-morning-1-homework,mhm8c2lyk,"School Admin",media,"GebuÌhrenbescheid.pdf",application/pdf,139332,/uploads/1768914543567-4bf0fc52ac34a65a4bfe4708.pdf,0,0,,"2026-01-20 13:09:04","2026-01-20 13:09:04"
f_3494981f,default,b2-morning-1-homework,me38i9knv,"School Admin",media,video-message-1768914581025.webm,video/mp4,977965,/uploads/1768914581036-378ea067869fbeeaf56796f9.mp4,0,0,,"2026-01-20 13:09:42","2026-01-20 13:09:42"
f_8da03878,sprachschule-duisburg,b2-morning-1,m2icgldjx,uyshv0srx,media,audio-message-1769693681673.webm,audio/mp4,64823,/uploads/1769693681720-7027cf7aec76215dac58e125.m4a,0,0,,"2026-01-29 13:34:44","2026-01-29 13:34:44"
f_390b96fd,sprachschule-duisburg,b1-morning-1,mvyerx93o,uyshv0srx,media,beschaeftigung.pdf,application/pdf,435484,/uploads/1770823592186-5446cf286a6c2671e5bd8771.pdf,0,0,,"2026-02-11 15:26:34","2026-02-11 15:26:34"
f_8789970f,sprachschule-duisburg,c2-morning-1,mvacvtxbg,uyshv0srx,media,video-message-1772072326703.webm,video/mp4,328595,/uploads/1772072326729-f8edb0f65e73b045ad3c7dd9.mp4,0,0,,"2026-02-26 02:18:49","2026-02-26 02:18:49"
f_af411e31,sprachschule-duisburg,a1-nood-homework,homework-item:hwi5y1jzho2,uyshv0srx,homework,attachment,application/octet-stream,227112,/uploads/1774529634355-ed7561371fbe7a7bf7df4643.pdf,0,0,,"2026-03-26 12:53:56","2026-03-26 12:53:56"
f_3450ef66,sprachschule-duisburg,a1-nood-homework,homework-submission:hws98o7j3qu,ubmz6ih1e,homework_submission,attachment,application/octet-stream,609069,/uploads/1774529692166-25047496b464a206ac393b06.pdf,0,0,,"2026-03-26 12:54:54","2026-03-26 12:54:54"
f_14331787,sprachschule-duisburg,a1-nood-homework,homework-item:hwi5y1jzho2,uyshv0srx,homework_solution,attachment,application/octet-stream,84486,/uploads/1774999140538-619ebd981b73f687663fc8c6.pdf,0,0,,"2026-03-31 23:19:02","2026-03-31 23:19:02"
f_8952f214,sprachschule-duisburg,a1-nood-homework,homework-item:hwi6tupkbkj,uyshv0srx,homework,attachment,application/octet-stream,227112,/uploads/1774999340352-74d61bba39344837d83f9cc1.pdf,0,0,,"2026-03-31 23:22:22","2026-03-31 23:22:22"
f_a8ecf5e0,sprachschule-duisburg,a1-nood-homework,homework-item:hwi5y1jzho2,uyshv0srx,homework,Healthinsurance.jpg,image/jpeg,399923,/uploads/1774999643585-5f3f616e7a633cf3a6d77020.jpg,0,0,,"2026-03-31 23:27:35","2026-03-31 23:27:35"
f_e127fc9b,sprachschule-duisburg,a1-nood-homework,homework-item:hwi5y1jzho2,uyshv0srx,homework_solution,Solution_Task1.pdf,application/pdf,84486,/uploads/1774999652439-9ebc55bf4066c9fc5881887c.pdf,0,0,,"2026-03-31 23:27:35","2026-03-31 23:27:35"
